1%25_rule_(aviation_medicine);1% rule (aviation medicine);1% rule (aviation medicine)
1,1,1,2-Tetrafluoroethane;1,1,1,2-Tetrafluoroethane;1,1,1,2-Tetrafluoroethane
1,4-Dioxin;1,4-Dioxin;1,4-Dioxin
10/90_gap;10/90 gap;10/90 gap
100K_Genome_Project;100K Genome Project;100K Genome Project
17-beta-hydroxysteroid_dehydrogenase_deficiency;17-beta-hydroxysteroid dehydrogenase deficiency;17-beta-hydroxysteroid dehydrogenase deficiency
1788_Doctors%27_Riot;1788 Doctors' Riot" class="mw-redirect;1788 Doctors' Riot
17q21.31_microdeletion_syndrome;17q21.31 microdeletion syndrome;17q21.31 microdeletion syndrome
1837_Great_Plains_smallpox_epidemic;1837 Great Plains smallpox epidemic;1837 Great Plains smallpox epidemic
1854_Broad_Street_cholera_outbreak;1854 Broad Street cholera outbreak;1854 Broad Street cholera outbreak
1858_Bradford_sweets_poisoning;1858 Bradford sweets poisoning;1858 Bradford sweets poisoning
1889%E2%80%9390_flu_pandemic;1889–90 flu pandemic;1889–90 flu pandemic
18p-;18p-;18p-
1918_flu_pandemic;1918 flu pandemic;1918 flu pandemic
1924_Los_Angeles_pneumonic_plague_outbreak;1924 Los Angeles pneumonic plague outbreak;1924 Los Angeles pneumonic plague outbreak
1962_Mexico_City_radiation_accident;1962 Mexico City radiation accident;1962 Mexico City radiation accident
1968_flu_pandemic;1968 flu pandemic;1968 flu pandemic
1970_British_Cohort_Study;1970 British Cohort Study;1970 British Cohort Study
1971_Iraq_poison_grain_disaster;1971 Iraq poison grain disaster;1971 Iraq poison grain disaster
1972_outbreak_of_smallpox_in_Yugoslavia;1972 outbreak of smallpox in Yugoslavia;1972 outbreak of smallpox in Yugoslavia
1974_smallpox_epidemic_in_India;1974 smallpox epidemic in India;1974 smallpox epidemic in India
1976_Philadelphia_Legionnaires%27_disease_outbreak;1976 Philadelphia Legionnaires' disease outbreak;1976 Philadelphia Legionnaires' disease outbreak
1976_swine_flu_outbreak;1976 swine flu outbreak;1976 swine flu outbreak
1983_West_Bank_fainting_epidemic;1983 West Bank fainting epidemic;1983 West Bank fainting epidemic
1984_Moroccan_radiation_accident;1984 Moroccan radiation accident;1984 Moroccan radiation accident
1984_Rajneeshee_bioterror_attack;1984 Rajneeshee bioterror attack;1984 Rajneeshee bioterror attack
1985_United_States_salmonellosis_outbreak;1985 United States salmonellosis outbreak;1985 United States salmonellosis outbreak
1987_Carroll_County_Cryptosporidiosis_outbreak;1987 Carroll County Cryptosporidiosis outbreak;1987 Carroll County Cryptosporidiosis outbreak
1993_Four_Corners_hantavirus_outbreak;1993 Four Corners hantavirus outbreak;1993 Four Corners hantavirus outbreak
1993_Jack_in_the_Box_E._coli_outbreak;1993 Jack in the Box E. coli outbreak;1993 Jack in the Box E. coli outbreak
1993_Milwaukee_Cryptosporidiosis_outbreak;1993 Milwaukee Cryptosporidiosis outbreak;1993 Milwaukee Cryptosporidiosis outbreak
1994_plague_epidemic_in_Surat;1994 plague epidemic in Surat;1994 plague epidemic in Surat
1996_San_Juan_de_Dios_radiotherapy_accident;1996 San Juan de Dios radiotherapy accident;1996 San Juan de Dios radiotherapy accident
1998_Delhi_oil_poisoning;1998 Delhi oil poisoning;1998 Delhi oil poisoning
1998_United_States_listeriosis_outbreak;1998 United States listeriosis outbreak;1998 United States listeriosis outbreak
1999_Bovenkarspel_legionellosis_outbreak;1999 Bovenkarspel legionellosis outbreak;1999 Bovenkarspel legionellosis outbreak
1p36_deletion_syndrome;1p36 deletion syndrome;1p36 deletion syndrome
1q21.1_deletion_syndrome;1q21.1 deletion syndrome;1q21.1 deletion syndrome
1q21.1_duplication_syndrome;1q21.1 duplication syndrome;1q21.1 duplication syndrome
2,3,7,8-Tetrachlorodibenzodioxin;2,3,7,8-Tetrachlorodibenzodioxin;2,3,7,8-Tetrachlorodibenzodioxin
2,4_Dienoyl-CoA_reductase_deficiency;2,4 Dienoyl-CoA reductase deficiency;2,4 Dienoyl-CoA reductase deficiency
2,4,5-Trichlorophenoxyacetic_acid;2,4,5-Trichlorophenoxyacetic acid;2,4,5-Trichlorophenoxyacetic acid
2,4-Dichlorophenoxyacetic_acid;2,4-Dichlorophenoxyacetic acid;2,4-Dichlorophenoxyacetic acid
2-1-1;2-1-1;2-1-1
2-Hydroxyglutaric_aciduria;2-Hydroxyglutaric aciduria;2-Hydroxyglutaric aciduria
2-Methylbutyryl-CoA_dehydrogenase_deficiency;2-Methylbutyryl-CoA dehydrogenase deficiency;2-Methylbutyryl-CoA dehydrogenase deficiency
2000_Simpsonwood_CDC_conference;2000 Simpsonwood CDC conference;2000 Simpsonwood CDC conference
2002_Barrow-in-Furness_legionellosis_outbreak;2002 Barrow-in-Furness legionellosis outbreak;2002 Barrow-in-Furness legionellosis outbreak
2003_Midwest_monkeypox_outbreak;2003 Midwest monkeypox outbreak;2003 Midwest monkeypox outbreak
2005_South_Wales_E._coli_O157_outbreak;2005 South Wales E. coli O157 outbreak;2005 South Wales E. coli O157 outbreak
2005_dengue_outbreak_in_Singapore;2005 dengue outbreak in Singapore;2005 dengue outbreak in Singapore
2006_North_American_E._coli_O157:H7_outbreak_in_spinach;2006 North American E. coli O157:H7 outbreak in spinach;2006 North American E. coli O157:H7 outbreak in spinach
2006_dengue_outbreak_in_India;2006 dengue outbreak in India;2006 dengue outbreak in India
2006_dengue_outbreak_in_Pakistan;2006 dengue outbreak in Pakistan;2006 dengue outbreak in Pakistan
2007_Bernard_Matthews_H5N1_outbreak;2007 Bernard Matthews H5N1 outbreak;2007 Bernard Matthews H5N1 outbreak
2007_tuberculosis_scare;2007 tuberculosis scare;2007 tuberculosis scare
2008_Canada_listeriosis_outbreak;2008 Canada listeriosis outbreak;2008 Canada listeriosis outbreak
2008_Chinese_heparin_adulteration;2008 Chinese heparin adulteration;2008 Chinese heparin adulteration
